7000018.5	6.5614257	-179.63742
4763426	23.110844	-295.63541
3241463.8	68.2957	-492.71088
2205788	255.48325	-580.38849
1501011.4	471.9938	-732.43665
1021424.1	758.02344	-799.62665
695071.25	969.07495	-735.65015
472990.28	1221.7395	-585.56976
321862	1269.8311	-512.2735
219028.36	1305.7773	-522.742
149040.61	1336.4868	-631.67462
101423.32	1346.8191	-839.4801
69013.508	1545.7271	-1199.4877
46967.781	1813.5757	-1491.7218
31955.168	2475.7673	-1819.3491
21748.811	3194.2361	-1854.6567
1469.5302	4997.1084	-639.87085
999.68164	5066.6284	-512.46283
