7000018.5	1.8298658	-180.46637
4763426	20.009449	-302.79977
3241463.8	58.332317	-473.05847
2205788	246.37946	-583.83313
1501011.4	455.71402	-724.10266
1021424.1	751.73547	-792.46722
695071.25	1097.9633	-755.35718
472990.28	1215.0469	-598.69397
321862	1263.7244	-521.32166
219028.36	1283.1334	-530.11017
149040.61	1356.0686	-622.38208
101423.32	1343.0243	-824.84424
69013.508	1559.2603	-1188.9188
46967.781	1868.5616	-1495.402
31955.168	2441.0166	-1900.5673
14799.215	4052.3567	-1820.6013
4663.5049	4678.9087	-1586.3004
3173.9846	4875.0566	-1168.1251
2159.3123	5025.6958	-878.22791
1469.5302	5150.5342	-658.08099
999.68164	5137.0054	-474.89536
